TeamID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,BALL,BALL,BALL,BALL
PlayerID,0,0,0,0,1,1,1,1,10,10,10,10,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,0,0,0,0,1,1,1,1,10,10,10,10,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,BALL,BALL,BALL,BALL
Attributes,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width
frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24.0,872.0,1026.0,36.0,24.0,1690.0,1118.0,30.0,36.0,2222.0,1040.0,20.0,30.0,2306.0,710.0,26.0,24.0,1634.0,1460.0,22.0,34.0,2058.0,1472.0,24.0,20.0,1910.0,1154.0,24.0,26.0,1998.0,472.0,20.0,22.0,1856.0,792.0,22.0,22.0,1676.0,848.0,30.0,26.0,1694.0,474.0,20.0,26.0,2110.0,1150.0,24.0,22.0,2232.0,818.0,22.0,26.0,2814.0,1104.0,32.0,30.0,2228.0,1780.0,26.0,26.0,2592.0,872.0,32.0,28.0,1804.0,992.0,24.0,28.0,2244.0,364.0,24.0,26.0,1668.0,322.0,22.0,30.0,1590.0,718.0,30.0,28.0,1652.0,1786.0,22.0,24.0,2582.0,1374.0,28.0,14.0,2565.0,893.0,14.0
2,24.0,873.0,1026.0,36.0,24.0,1691.0,1118.0,30.0,35.0,2222.0,1042.0,21.0,28.0,2305.0,713.0,26.0,25.0,1635.0,1460.0,23.0,33.0,2057.0,1474.0,23.0,20.0,1910.0,1155.0,23.0,26.0,1999.0,472.0,20.0,22.0,1856.0,793.0,22.0,21.0,1678.0,849.0,29.0,26.0,1695.0,474.0,21.0,26.0,2112.0,1152.0,22.0,23.0,2232.0,819.0,23.0,26.0,2814.3333333333335,1104.0,32.0,32.0,2227.0,1780.0,26.0,26.0,2589.0,873.0,31.0,28.0,1804.0,993.0,24.0,27.0,2243.0,361.0,24.0,26.0,1668.0,321.0,22.0,29.0,1591.0,719.0,30.0,28.0,1653.0,1786.0,22.0,24.0,2582.0,1375.0,27.0,14.0,2563.0,894.0,14.0
3,24.0,874.0,1026.0,36.0,24.0,1692.0,1118.0,30.0,34.0,2223.0,1045.0,22.0,27.0,2304.0,717.0,26.0,26.0,1636.0,1460.0,24.0,33.0,2057.0,1476.0,23.0,20.0,1911.0,1156.0,23.0,26.0,2000.0,473.0,20.0,22.0,1856.0,794.0,23.0,21.0,1680.0,850.0,29.0,26.0,1696.0,475.0,23.0,26.0,2115.0,1155.0,20.0,24.0,2232.0,820.0,25.0,26.0,2814.6666666666665,1104.0,32.0,34.0,2226.0,1780.0,26.0,26.0,2586.0,874.0,31.0,28.0,1804.0,994.0,24.0,27.0,2242.0,359.0,24.0,26.0,1669.0,320.0,23.0,28.0,1592.0,720.0,31.0,28.0,1654.0,1786.0,23.0,24.0,2583.0,1376.0,27.0,14.0,2561.6,895.5,14.0
4,24.0,875.0,1027.0,36.0,24.0,1693.0,1119.0,30.0,33.0,2223.0,1048.0,23.0,26.0,2304.0,721.0,26.0,27.0,1637.0,1461.0,25.0,32.0,2056.0,1478.0,23.0,20.0,1912.0,1157.0,23.0,26.0,2002.0,473.0,20.0,22.0,1857.0,795.0,24.0,21.0,1682.0,851.0,29.0,26.0,1698.0,476.0,25.0,26.0,2117.0,1157.0,18.0,26.0,2233.0,821.0,27.0,26.0,2815.0,1104.0,32.0,36.0,2225.0,1780.0,26.0,26.0,2584.0,875.0,31.0,28.0,1804.0,995.0,24.0,27.0,2241.0,357.0,24.0,26.0,1670.0,319.0,24.0,27.0,1594.0,721.0,31.0,28.0,1656.0,1786.0,24.0,24.0,2584.0,1378.0,26.0,14.0,2560.2,897.0,14.0
5,24.0,876.0,1027.0,36.0,24.0,1694.0,1119.0,30.0,32.0,2224.0,1051.0,24.0,25.0,2303.0,724.0,27.0,28.0,1638.0,1461.0,26.0,32.0,2056.0,1480.0,23.0,20.0,1913.0,1158.0,23.0,26.0,2003.0,474.0,20.0,22.0,1857.0,796.0,24.0,21.0,1684.0,852.0,28.0,26.0,1699.0,477.0,26.0,26.0,2120.0,1160.0,16.0,27.0,2233.0,822.0,28.0,26.0,2815.0,1105.0,32.0,38.0,2224.0,1780.0,26.0,27.0,2581.0,876.0,30.0,29.0,1804.0,997.0,25.0,26.0,2240.0,355.0,24.0,26.0,1671.0,318.0,24.0,26.0,1595.0,723.0,32.0,29.0,1657.0,1787.0,25.0,24.0,2585.0,1379.0,26.0,14.0,2558.8,898.5,14.0
6,24.0,877.0,1028.0,36.0,24.0,1696.0,1119.0,30.0,31.0,2224.0,1053.0,25.0,24.0,2303.0,728.0,27.0,29.0,1639.0,1461.0,27.0,32.0,2056.0,1482.0,23.0,20.0,1914.0,1159.0,23.0,26.0,2004.0,474.0,20.0,22.0,1857.0,797.0,25.0,21.0,1686.0,853.0,28.0,26.0,1701.0,478.0,28.0,25.0,2119.0,1162.0,17.0,28.0,2233.0,823.0,30.0,26.0,2815.5,1105.0,32.0,36.0,2222.0,1783.0,26.0,27.0,2579.0,877.0,30.0,29.0,1804.0,998.0,25.0,26.0,2240.0,353.0,24.0,26.0,1672.0,317.0,25.0,25.0,1597.0,724.0,32.0,29.0,1659.0,1787.0,26.0,25.0,2586.0,1381.0,25.0,14.0,2557.4,900.0,14.0
